date,day,month,year,districts,villages,cropArea,people,camps,campsPeople,deceased
7/1/12,1,July,2012,30,1564,,1992727,622,439548,14
7/2/12,2,July,2012,16,1543,,1233970,551,255677,9
7/3/12,3,July,2012,16,1281,,916801,650,383421,12
7/4/12,4,July,2012,17,1012,,850145,536,299872,1
7/5/12,5,July,2012,15,491,,566221,405,288098,4
7/6/12,6,July,2012,14,920,,334007,512,275241,3
7/7/12,7,July,2012,13,814,,195683,451,167309,0
7/8/12,8,July,2012,13,723,,471612,395,156681,1
7/9/12,9,July,2012,13,550,,325839,208,67903,0
7/10/12,10,July,2012,13,436,,128394,126,22516,0
7/11/12,11,July,2012,13,413,,39809,111,22095,0
7/12/12,12,July,2012,8,370,,234981,68,8372,0
7/13/12,13,July,2012,10,355,,329900,52,41277,0
7/14/12,14,July,2012,9,320,,126475,57,33533,0
7/15/12,15,July,2012,8,327,,104728,42,10901,1
7/16/12,16,July,2012,9,421,,270522,51,20731,0
7/17/12,17,July,2012,13,647,,362616,99,56439,0
7/18/12,18,July,2012,15,581,,440149,122,56439,0
7/19/12,19,July,2012,15,483,,418876,135,99383,0
7/20/12,20,July,2012,13,647,,356515,147,117292,0
7/21/12,21,July,2012,11,598,,409152,93,82156,0
7/22/12,22,July,2012,12,594,,432536,91,78041,0
7/23/12,23,July,2012,11,496,,312533,90,69807,0
7/24/12,24,July,2012,11,491,,335975,82,100077,0
7/25/12,25,July,2012,10,471,,329237,80,93990,0
7/26/12,26,July,2012,10,477,,321242,78,80515,0
7/27/12,27,July,2012,9,393,,232377,72,62859,0
7/28/12,28,July,2012,9,394,,227049,72,61164,0
7/29/12,29,July,2012,9,390,,226044,70,60499,0
7/30/12,30,July,2012,7,326,,219898,68,58599,0
7/31/12,31,July,2012,6,181,,199686,47,53434,0
8/1/12,1,August,2012,0,0,,0,0,0,0
8/2/12,2,August,2012,7,169,,132939,22,28721,0
8/3/12,3,August,2012,8,187,,214096,22,28721,0
8/4/12,4,August,2012,7,149,,80062,17,28361,0
8/5/12,5,August,2012,7,150,,127588,16,27361,0
8/6/12,6,August,2012,7,128,,114247,15,26756,0
8/7/12,7,August,2012,7,132,,113312,14,26556,0
8/8/12,8,August,2012,6,100,,94211,13,26652,0
8/9/12,9,August,2012,7,97,,80806,10,23952,0
8/10/12,10,August,2012,4,66,,50315,6,952,0
